d1,d2,d3,d4,points,dice_remaining,probability
2.0,5.0,6.0,6.0,50.0,3.0,0.009259259259259259
2.0,6.0,6.0,6.0,600.0,1.0,0.0030864197530864196
3.0,3.0,3.0,3.0,1000.0,6.0,0.0007716049382716049
3.0,3.0,3.0,4.0,300.0,1.0,0.0030864197530864196
3.0,3.0,3.0,5.0,350.0,6.0,0.0030864197530864196
3.0,3.0,3.0,6.0,300.0,1.0,0.0030864197530864196
3.0,3.0,4.0,4.0,0.0,0.0,0.004629629629629629
3.0,3.0,4.0,5.0,50.0,3.0,0.009259259259259259
3.0,3.0,4.0,6.0,0.0,0.0,0.009259259259259259
3.0,3.0,5.0,5.0,100.0,2.0,0.004629629629629629
3.0,3.0,5.0,6.0,50.0,3.0,0.009259259259259259
3.0,3.0,6.0,6.0,0.0,0.0,0.004629629629629629
3.0,4.0,4.0,4.0,400.0,1.0,0.0030864197530864196
3.0,4.0,4.0,5.0,50.0,3.0,0.009259259259259259
3.0,4.0,4.0,6.0,0.0,0.0,0.009259259259259259
3.0,4.0,5.0,5.0,100.0,2.0,0.009259259259259259
3.0,4.0,5.0,6.0,50.0,3.0,0.018518518518518517
3.0,4.0,6.0,6.0,0.0,0.0,0.009259259259259259
3.0,5.0,5.0,5.0,500.0,1.0,0.0030864197530864196
3.0,5.0,5.0,6.0,100.0,2.0,0.009259259259259259
3.0,5.0,6.0,6.0,50.0,3.0,0.009259259259259259
3.0,6.0,6.0,6.0,600.0,1.0,0.0030864197530864196
4.0,4.0,4.0,4.0,1000.0,6.0,0.0007716049382716049
4.0,4.0,4.0,5.0,450.0,6.0,0.0030864197530864196
4.0,4.0,4.0,6.0,400.0,1.0,0.0030864197530864196
4.0,4.0,5.0,5.0,100.0,2.0,0.004629629629629629
4.0,4.0,5.0,6.0,50.0,3.0,0.009259259259259259
4.0,4.0,6.0,6.0,0.0,0.0,0.004629629629629629
4.0,5.0,5.0,5.0,500.0,1.0,0.0030864197530864196
4.0,5.0,5.0,6.0,100.0,2.0,0.009259259259259259
4.0,5.0,6.0,6.0,50.0,3.0,0.009259259259259259
4.0,6.0,6.0,6.0,600.0,1.0,0.0030864197530864196
5.0,5.0,5.0,5.0,1000.0,6.0,0.0007716049382716049
5.0,5.0,5.0,6.0,500.0,1.0,0.0030864197530864196
5.0,5.0,6.0,6.0,100.0,2.0,0.004629629629629629
5.0,6.0,6.0,6.0,650.0,6.0,0.0030864197530864196
6.0,6.0,6.0,6.0,1000.0,6.0,0.0007716049382716049
